Designator,Mid X,Mid Y,Rotation,Layer
_3,186.6925,-89.51875,0.0,top
_2,65.2925,-89.4875,0.0,top
,186.6925,-37.13125,0.0,top
BOOT1,172.27375,-76.1625,270.0,bottom
C1,167.760327,-66.899077,0.0,bottom
C10,168.205,-42.43125,0.0,bottom
C2,170.955,-42.68125,180.0,bottom
C3,173.52375,-54.6625,180.0,bottom
C4,164.77375,-54.9125,90.0,bottom
C5,173.77375,-63.4125,270.0,bottom
C6,173.27375,-64.9125,180.0,bottom
C7,167.760327,-65.649077,180.0,bottom
C8,168.455,-35.68125,90.0,bottom
C9,166.955,-38.93125,90.0,bottom
D0,37.4675,-30.78125,90.0,bottom
D1,61.28,-30.78125,90.0,bottom
D10,39.84875,-54.65625,90.0,bottom
D11,61.28,-54.53125,90.0,bottom
D12,80.33,-54.59375,90.0,bottom
D13,99.38,-54.59375,90.0,bottom
D14,118.43,-54.59375,90.0,bottom
D15,137.48,-54.65625,90.0,bottom
D16,156.53,-54.59375,90.0,bottom
D17,180.3425,-49.76875,90.0,bottom
D18,199.3925,-49.76875,90.0,bottom
D19,218.4425,-49.83125,90.0,bottom
D2,80.33,-30.84375,90.0,bottom
D20,39.84875,-73.64375,90.0,bottom
D21,61.28,-73.64375,90.0,bottom
D22,80.33,-73.64375,90.0,bottom
D23,99.38,-73.64375,90.0,bottom
D24,118.43,-73.64375,90.0,bottom
D25,137.48,-73.64375,90.0,bottom
D26,156.53,-73.58125,90.0,bottom
D27,199.3925,-78.40625,90.0,bottom
D28,39.84875,-97.45625,90.0,bottom
D29,77.94875,-97.39375,90.0,bottom
D3,99.38,-30.71875,90.0,bottom
D30,112.87375,-100.69375,90.0,bottom
D31,124.78,-95.86875,90.0,bottom
D32,135.8925,-95.86875,90.0,bottom
D33,180.3425,-97.45625,90.0,bottom
D34,199.3925,-97.39375,90.0,bottom
D35,218.4425,-97.45625,90.0,bottom
D4,118.43,-30.78125,90.0,bottom
D5,137.48,-30.78125,90.0,bottom
D6,156.53,-30.78125,90.0,bottom
D7,180.3425,-30.78125,90.0,bottom
D8,199.3925,-30.84375,90.0,bottom
D9,218.4425,-30.78125,90.0,bottom
F1,165.455,-36.68125,180.0,bottom
J1,165.455,-25.93125,0.0,bottom
R1,168.455,-33.68125,0.0,bottom
R2,168.455,-31.18125,180.0,bottom
R3,170.52375,-69.1625,0.0,bottom
R4,168.02375,-69.1625,0.0,bottom
RST1,166.27375,-76.1625,90.0,bottom
SW0,124.78,-96.11875,90.0,top
SW1,36.67375,-96.9125,90.0,top
U1,169.27375,-59.1625,90.0,bottom
U2,165.455,-32.43125,90.0,bottom
U3,169.705,-39.93125,180.0,bottom
